date,gecko-t-linux-xlarge,gecko-t-linux-large,gecko-t-win7-32,gecko-3-b-win2012,gecko-3-b-linux,gecko-t-win7-32-gpu,gecko-t-win10-64,gecko-1-b-linux,gecko-1-b-win2012,gecko-t-win10-64-gpu,gecko-3-decision,gecko-misc,gecko-1-b-android,gecko-3-b-android,gecko-1-decision,gecko-2-decision,gecko-t-win10-64-alpha,gecko-1-b-linux-large,gecko-t-win10-64-cu,gecko-1-images,gecko-3-images,gecko-3-b-linux-large,gecko-decision,gecko-focus,gecko-t-win7-32-cu,mobile-3-b-andrcmp,github-worker,releng-svc,releng-svc-prod,symbol-upload,releng-svc-memory,wpt-docker-worker,servo-docker-worker,application-services-r,mobile-1-b-fenix,mobile-1-decision,mobile-3-decision,taskcluster-images,hg-worker,mobile-1-b-andrcmp,mobile-1-images,servo-win2016,taskcluster-generic,android-components-g,mobile-3-b-fenix,releng-svc-compute,servo-docker-untrusted,tutorial,win2012r2-cu
2019-02-15 15:58:38.926427,30,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2019-02-15 16:01:14.332925,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2019-02-15 16:03:48.733007,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15 16:06:21.843236,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15 16:08:56.958016,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15 16:11:30.514003,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15 16:14:04.005454,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15 16:16:37.203099,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15 16:19:11.092273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15 16:21:44.672941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15 16:24:18.685049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
